,title,time,link,text
0,"""أكسيوس"": بايدن وجه إنذارا نهائيا شديد اللهجة لنتنياهو",23:39 GMT,/web/20240405235307/https://arabic.rt.com/world/1553825-%D8%A3%D9%83%D8%B3%D9%8A%D9%88%D8%B3-%D8%A8%D8%A7%D9%8A%D8%AF%D9%86-%D9%88%D8%AC%D9%87-%D8%A5%D9%86%D8%B0%D8%A7%D8%B1%D8%A7-%D9%86%D9%87%D8%A7%D8%A6%D9%8A%D8%A7-%D8%B4%D8%AF%D9%8A%D8%AF-%D8%A7%D9%84%D9%84%D9%87%D8%AC%D8%A9-%D9%84%D9%86%D8%AA%D9%86%D9%8A%D8%A7%D9%87%D9%88/,"أفادت بوابة ""أكسيوس"" نقلا عن مصادر مطلعة بأن الرئيس الأمريكي جو بايدن وجه إنذارا نهائيا شديد اللهجة لرئيس الوزراء الإسرائيلي بنيامين نتنياهو، هدده فيه بالتوقف عن مساعدة إسرائيل.
وذكرت البوابة نقلا عن ثلاثة مصادر مطلعة أن ""الرئيس بايدن وجه إنذارا إلى رئيس الوزراء الإسرائيلي بنيامين نتنياهو خلال مكالمة هاتفية يوم الخميس، قال فيه إذا لم تغير إسرائيل نهجها في غزة، فلن نقوم بمساعدتكم"".
ولم يحدد بايدن ما الذي يقصده بالضبط من فقدان الدعم الأمريكي، ولم يذكر في هذا السياق إمكانية وقف إمدادات الأسلحة لإسرائيل.
وأكدت المصادر أن هذه المحادثة كانت ""الأكثر قسوة"" بين بايدن ونتنياهو ""من حيث اللهجة والمضمون"" منذ 7 أكتوبر.
وأفادت قناة NBC الإخبارية الأمريكية نقلا عن مسؤولين أمريكيين أمس الجمعة، بأن هناك 3 أسباب قادت إلى التحول في موقف الرئيس الأمريكي تجاه إسرائيل وهي مقتل عمال الإغاثة ومناشدة عقيلة بايدن اليومية بوقف الحرب وتحرك الجالية المسلمة قادت لتحول بموقف بايدن.
وبعد المكالمة، قال المتحدث باسم البيت الأبيض جون كيربي إن الخطوات التي تتوقع الولايات المتحدة أن تتخذها إسرائيل تشمل ""زيادة كمية المساعدات التي تصل إلى غزة، وفتح معابر إضافية إلى غزة، والتحرك نحو وقف إطلاق النار، وتحسين حماية المدنيين والقطاع الخاص وعمال الإغاثة.
وقال كيربي: ""إذا لم تكن هناك تغييرات في سياستهم، فلا بد أن تكون هناك تغييرات في سياستنا"".
المصدر: نوفوستي"
1,آخر تطورات العملية العسكرية الروسية في أوكرانيا /05.04.2024/,23:35 GMT,/web/20240405235307/https://arabic.rt.com/world/1553510-%D8%A2%D8%AE%D8%B1-%D8%AA%D8%B7%D9%88%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D8%B9%D9%85%D9%84%D9%8A%D8%A9-%D8%A7%D9%84%D8%B9%D8%B3%D9%83%D8%B1%D9%8A%D8%A9-%D8%A7%D9%84%D8%B1%D9%88%D8%B3%D9%8A%D8%A9-%D9%81%D9%8A-%D8%A3%D9%88%D9%83%D8%B1%D8%A7%D9%86%D9%8A%D8%A7-05042024/,
2,بالأرقام.. هذا ما خلفته ستة أشهر من الحرب على غزة,23:23 GMT,/web/20240405235307/https://arabic.rt.com/middle_east/1553819-%D8%A8%D8%A7%D9%84%D8%A3%D8%B1%D9%82%D8%A7%D9%85-%D9%87%D8%B0%D8%A7-%D9%85%D8%A7-%D8%AE%D9%84%D9%81%D8%AA%D9%87-%D8%B3%D8%AA%D8%A9-%D8%A3%D8%B4%D9%87%D8%B1-%D9%85%D9%86-%D8%A7%D9%84%D8%AD%D8%B1%D8%A8-%D8%B9%D9%84%D9%89-%D8%BA%D8%B2%D8%A9/,"أصبحت الحرب المتواصلة بين إسرائيل وحماس منذ ستة أشهر واحدة من أكثر الصراعات تدميرا وفتكا وعصيانا على الحل في القرن الحادي والعشرين.
فمنذ الهجوم الذي شنته حماس عبر الحدود في 7 أكتوبر قامت إسرائيل بقصف قطاع غزة ما أدى إلى نزوح الغالبية العظمى من السكان، ودفع الكثيرين إلى الفرار إلى مدينة رفح الواقعة في أقصى جنوب غزة، ناهيك عن مقتل أكثر من 30 ألفا منذ بداية عملية ""طوفان الأقصى"".
وفي ما يلي نظرة على الحرب بالأرقام والإحصائيات قالت وكالة ""أسوشيتد برس"" إن مصدرها الرئيسي الجيش ومكتب رئيس الوزراء الإسرائيليين، ووزارة الصحة في غزة، ومكتب الأمم المتحدة لتنسيق الشؤون الإنسانية، وتقارير الوكالة.
إجمالي الوفيات:
- عدد القتلى الفلسطينيين في غزة: 33091
- الأطفال الذين قتلوا في غزة: ما يزيد على 13 ألفا
- عدد القتلى الفلسطينيين في الضفة الغربية: 456
- عدد القتلى في لبنان: 343 على الأقل
- عدد القتلى في إسرائيل: نحو 1200
المدنيون:
- مدنيون قتلوا في لبنان: 50 على الأقل
- عمال إغاثة قتلوا في غزة: 224 من بينهم 30 على الأقل قتلوا أثناء أداء واجبهم
- عدد القتلى من العاملين في القطاع الصحي في غزة: 484
- صحفيون قتلوا في غزة: 95 على الأقل
- مدنيون وأجانب قتلوا في إسرائيل يوم 7 أكتوبر: 780
- مسعفون قتلوا في إسرائيل يوم 7 أكتوبر: 62
عدد القتلى المدنيين منذ 8 أكتوبر في إسرائيل على طول الحدود الشمالية: 9
جنود - مسلحون:
- مسلحون قتلتهم إسرائيل في غزة: أكثر من 13 ألفا بحسب الجيش الإسرائيلي
- جنود إسرائيليون قتلوا في الهجوم البري على غزة: 256
- جنود إسرائيليون قتلوا في 7 أكتوبر: 314
- جنود إسرائيليون قتلوا على طول الجبهة الشمالية لإسرائيل منذ 7 أكتوبر:11
- مسلحون قتلوا في لبنان: نحو 280 معظمهم من حزب الله
الدمار والوضع الإنساني في غزة
- نسبة المباني التي من المحتمل أن تكون قد تضررت أو دمرت: 55.9 بالمائة
- نسبة المنازل التي يحتمل أن تتضرر مع استمرار القتال: أكثر من 60 بالمائة
- نسبة المباني المدرسية المتضررة: 90 بالمائة
- المستشفيات العاملة: 10 من بين 36
- مدنيون فلسطينيون يواجهون انعدام الأمن الغذائي الكارثي بحسب الأمم المتحدة: 1.1 مليون
- نسبة أطفال شمال غزة تحت سن الثانية الذين يعانون من سوء التغذية الحاد: 31 بالمائة
- نسبة الطلاب المتغيبون عن الدراسة: 100 بالمائة
- المساجد المتضررة: 227
- الكنائس المتضررة: 3
المصابون:
- فلسطينيون مصابون في غزة منذ 7 أكتوبر: 75750
- فلسطينيون مصابون في الضفة الغربية منذ 7 أكتوبر: 4750
- جنود إسرائيليون مصابون منذ بداية الهجوم البري: 1549
- مدنيون إسرائيليون مصابون يوم 7 أكتوبر: 4834
النازحون:
- فلسطينيون نازحون حاليا من غزة: 1.7 مليون (70 بالمائة من السكان)
- إسرائيليون نازحون حاليا من مناطق سكانية حدودية: 90000 (أقل من 1 بالمائة من السكان)
الرهائن والأسرى
- رهائن حماس يوم 7 أكتوبر: 253
- رهائن الذين ما زالوا على قيد الحياة أو لم يتم التأكد من وفاتهم: 98 من بينهم اثنان محتجزان قبل 7 أكتوبر
- وفاة مؤكدة لرهائن لدى حماس: 36 من بينهم اثنان محتجزان قبل 7 أكتوبر
- رهائن محررون: 123
- أسرى فلسطينيون مفرج عنهم خلال فترة توقف القتال لمدة أسبوع: 240
- معتقلون في السجون الإسرائيلية: تجاوز إجمالي عدد المعتقلين الفلسطينيين داخل السجون الإسرائيلية 9100
المصدر: RT + أ ب"
3,مراسل RT يوثق مشاهد لفتك المسيّرات الروسية بقوات نظام كييف أثناء محاولة تقدم على محور أوغليدار,23:14 GMT,/web/20240405235307/https://arabic.rt.com/world/1553822-%D9%85%D8%B1%D8%A7%D8%B3%D9%84-rt-%D9%8A%D9%88%D8%AB%D9%82-%D9%85%D8%B4%D8%A7%D9%87%D8%AF-%D9%84%D9%81%D8%AA%D9%83-%D8%A7%D9%84%D9%85%D8%B3%D9%8A%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D8%B1%D9%88%D8%B3%D9%8A%D8%A9-%D8%A8%D9%82%D9%88%D8%A7%D8%AA%D8%A3%D9%88%D8%BA%D9%84%D9%8A%D8%AF%D8%A7%D8%B1/,"أظهر المراسل العسكري لـ RT في مقطع فيديو تعرض القوات الأوكرانية في اتجاه مدينة أوغليدار لهجوم بمسيرات روسية بعد محاولة فاشلة منها للاقتراب من تحصينات القوات الروسية.

وأوضح المراسل العسكري لـ RT ألكسندر ياريمشوك: ""حاول الجيش الأوكراني في اتجاه أوغليدار تنفيذ خطة جريئة ولكنها غبية للغاية، وتعرض لهجوم من القوات الروسية"".
وأضاف: ""حاولوا باستخدام آليات عسكرية في مناطق مفتوحة الدخول إلى مواقع وحدات المجموعة الجنوبية لكن كل خططهم فشلت وتكبدوا خسائر فادحة"".
هذا وصرح يان غاغين، مستشار رئيس جمهورية دونيتسك الشعبية دينيس بوشيلين، بأن القوات المسلحة الروسية دخلت ضواحي مدينة تشاسوف يار الاستراتيجية الواقعة تحت السيطرة الأوكرانية.
كما أعلنت وزارة الدفاع الروسية يوم الجمعة أن قواتها شنت خلال الأسبوع الماضي 39 ضربة مكثفة باستخدام مختلف أنواع الأسلحة لمنشآت قطاع الطاقة ومواقع عسكرية في أوكرانيا.
المصدر: RT"
4,تركيا تحظر على مواطني طاجيكستان دخول أراضيها بدون تأشيرة,23:01 GMT,/web/20240405235307/https://arabic.rt.com/world/1553821-%D8%AA%D8%B1%D9%83%D9%8A%D8%A7-%D8%AA%D9%85%D9%86%D8%B9-%D8%AF%D8%AE%D9%88%D9%84-%D9%85%D9%88%D8%A7%D8%B7%D9%86%D9%8A-%D8%B7%D8%A7%D8%AC%D9%8A%D9%83%D8%B3%D8%AA%D8%A7%D9%86-%D8%A5%D9%84%D9%89-%D8%A3%D8%B1%D8%A7%D8%B6%D9%8A%D9%87%D8%A7-%D8%A8%D8%AF%D9%88%D9%86-%D8%AA%D8%A3%D8%B4%D9%8A%D8%B1%D8%A9/,"نشرت جريدة Resmi Gazete التركية الرسمية مرسوما يمنع دخول مواطني طاجيكستان إلى تركيا بدون تأشيرة.
وجاء في المرسوم الذي وقعه الرئيس التركي رجب طيب أردوغان: ""تم اتخاذ قرار بإلغاء نظام الإعفاء من التأشيرة لمواطني طاجيكستان الذين يدخلون تركيا باستخدام جواز سفر عام"".
ولم يأت المرسوم على ذكر أسباب اتخاذ هذا القرار.
وذكرت وسائل إعلام تركية في وقت سابق أن اثنين من منفذي هجوم ""كروكوس"" الإرهابي زارا اسطنبول في الفترة من يناير إلى مارس وأقاما في فنادق، ولكن ما يزال غير معروف ما الذي فعلاه قبل عدة أيام من مغادرتهما.
المصدر: نوفوستي"
5,"""المقاومة الإسلامية في العراق"" تكشف عن عمليتين نفذتهما يوم الأربعاء",22:52 GMT,/web/20240405235307/https://arabic.rt.com/middle_east/1553815-%D8%A7%D9%84%D9%85%D9%82%D8%A7%D9%88%D9%85%D8%A9-%D8%A7%D9%84%D8%A5%D8%B3%D9%84%D8%A7%D9%85%D9%8A%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82-%D8%AA%D9%83%D8%B4%D9%81-%D8%B9%D9%86-%D8%B9%D9%85%D9%84%D9%8A%D8%AA%D9%8A%D9%86-%D9%86%D9%81%D8%B0%D8%AA%D9%87%D9%85%D8%A7-%D9%8A%D9%88%D9%85-%D8%A7%D9%84%D8%A3%D8%B1%D8%A8%D8%B9%D8%A7%D8%A1/,"أعلنت ""المقاومة الإسلامية في العراق"" فجر اليوم السبت استهدافها هدفا عسكريا في الجولان المحتل بالطيران المسيّر، مؤكدة استمرارها في عملياتها.
وفي بيان لها، قالت ""المقاومة الإسلامية في العراق"": ""استمرارا بنهجنا في مقاومة الاحتلال، ونصرة لأهلنا في غزة، وردا على المجازر التي يرتكبها الكيان الغاصب بحق المدنيين الفلسطينيين من أطفال ونساء وشيوخ، استهدف مجاهدو المقاومة الإسلامية في العراق يوم الأربعاء، هدفا عسكريا في الجولان المحتل بواسطة الطيران المسير"".
كما قالت في بيان ثان فجر السبت، إنها ""استهدفت يوم الأربعاء هدفا حيويا في الأراضي المحتلة بواسطة السلاح المناسب"".
وكانت فصائل المقاومة في العراق قد تبنت بين الحين والآخر قصف مناطق في إٍسرائيل، وقواعد أمريكية في سوريا والعراق ردا على الحرب الإسرائيلية المدمرة على قطاع غزة.
كما حذرت الفصائل الولايات المتحدة من أنها ستزيد عدد العمليات المسلحة ردا على ""مواصلة واشنطن تقديم المساعدة العسكرية للجيش الإسرائيلي الذي يقتل المدنيين في قطاع غزة وجنوب لبنان"".
المصدر: RT
"
6,"المستشار النمساوي يعلن عدم تأييده لسياسة ماكرون ""غير المنضبطة"" بشأن إنهاء الحرب في أوكرانيا",22:46 GMT,/web/20240405235307/https://arabic.rt.com/world/1553816-%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1-%D8%A7%D9%84%D9%86%D9%85%D8%B3%D8%A7%D9%88%D9%8A-%D9%8A%D8%B9%D9%84%D9%86-%D8%B9%D8%AF%D9%85-%D8%AA%D8%A3%D9%8A%D9%8A%D8%AF%D9%87-%D9%84%D8%B3%D9%8A%D8%A7%D8%B3%D8%A9-%D9%85%D8%A7%D9%83%D8%B1%D9%88%D9%86-%D8%BA%D9%8A%D8%B1-%D8%A7%D9%84%D9%85%D9%86%D8%B6%D8%A8%D8%B7%D8%A9-%D8%A8%D8%B4%D8%A3%D9%86-%D8%A5%D9%86%D9%87%D8%A7%D8%A1-%D8%A7%D9%84%D8%AD%D8%B1%D8%A8-%D9%81%D9%8A-%D8%A3%D9%88%D9%83%D8%B1%D8%A7%D9%86%D9%8A%D8%A7/,"أكد المستشار النمساوي كارل نيهامر أنه لا يتفق بشكل كامل مع تصريحات الرئيس الفرنسي إيمانويل ماكرون حول عدم استبعاد إرسال قوات إلى أوكرانيا، واعتبر أنه من الضروري تجنب تصعيد التوتر.
وقال نيهامر في مقابلة مع صحيفة ""لوفيغارو"": ""نحن متفقون على هدف تحقيق السلام الدائم. وتختلف مواقفنا في اختيار الطريق لتحقيق هذا الهدف. أنا مع المبدأ الاحترازي. والرئيس الفرنسي من مؤيدي مبدأ الردع. ويبدو أن بعض العناصر مقنعة عندما نرى الشراسة التي تتعامل بها روسيا، لكنني أعتقد أنه من الضروري اتباع المبدأ الاحترازي لتجنب التصعيد غير المنضبط"".
وأضاف: ""نحن نشارك وجهة النظر فيما يتعلق بالدعم والتضامن مع أوكرانيا. ونعتبر أيضا أنه من الضروري أن تكون هناك صيغة تتمكن فيها أطراف النزاع من الحوار مع بعضها البعض مرة أخرى. وخطة السلام التي طرحها [الرئيس الأوكراني] فلاديمير زيلينسكي تضع الأساس لذلك"".
وصرح الرئيس الفرنسي إيمانويل ماكرون في 26 فبراير أنه خلال اجتماع في باريس بمشاركة ممثلين عن حوالي 20 دولة غربية، تم التطرق إلى موضوع الإرسال المحتمل لقوات إلى أوكرانيا. وأشار إلى أن المشاركين لم يتوصلوا إلى توافق حول هذه القضية، ولكن لا يمكن استبعاد مثل هذا السيناريو في المستقبل.
وبعد الاجتماع، قال ممثلو معظم الدول المشاركة، بما في ذلك بولندا، إنه ليس لديهم خطط لإرسال عسكريين إلى أوكرانيا.
المصدر: نوفوستي"
7,أنطونوف: روسيا ستدرس أي عرض أمريكي يقدم لها حول تبادل المعتقلين,22:38 GMT,/web/20240405235307/https://arabic.rt.com/world/1553812-%D8%A3%D9%86%D8%B7%D9%88%D9%86%D9%88%D9%81-%D8%B1%D9%88%D8%B3%D9%8A%D8%A7-%D8%B3%D8%AA%D8%AF%D8%B1%D8%B3-%D8%A7%D9%84%D8%B9%D8%B1%D8%B6-%D8%A7%D9%84%D8%A3%D9%85%D8%B1%D9%8A%D9%83%D9%8A-%D8%AD%D9%88%D9%84-%D8%AA%D8%A8%D8%A7%D8%AF%D9%84-%D8%A7%D9%84%D9%85%D8%B9%D8%AA%D9%82%D9%84%D9%8A%D9%86-%D8%A5%D9%86-%D9%88%D8%AC%D8%AF/,
8,"""سي إن إن"": حماس ترفض المقترح الإسرائيلي الأخير بشأن صفقة الرهائن",22:19 GMT,/web/20240405235307/https://arabic.rt.com/middle_east/1553813-%D8%B3%D9%8A-%D8%A5%D9%86-%D8%A5%D9%86-%D8%AD%D9%85%D8%A7%D8%B3-%D8%B1%D9%81%D8%B6%D8%AA-%D8%A7%D9%84%D9%85%D9%82%D8%AA%D8%B1%D8%AD-%D8%A7%D9%84%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A-%D8%A7%D9%84%D8%A3%D8%AE%D9%8A%D8%B1-%D8%A8%D8%B4%D8%A3%D9%86-%D8%B5%D9%81%D9%82%D8%A9-%D8%A7%D9%84%D8%B1%D9%87%D8%A7%D8%A6%D9%86/,"قال مصدر دبلوماسي لقناة ""سي إن إن"" الأمريكية إن وفد حركة ""حماس"" إلى مفاوضات القاهرة حول صفقة تبادل المحتجزين مع إسرائيل رفض المقترح الإسرائيلي الأخير.
ونقلت ""سي إن إن"" عن الدبلوماسي، الذي يقال إنه مطلع على سير المناقشات، دون أن يذكر اسمه، قوله: ""إنهم رفضوا (المقترح) واعتبروا أنه أغفل مطالبهم"".
وأضاف أن ""حماس"" اعتبرت أن المقترح الإسرائيلي ""لم يتضمن أي شيء جديد، وبالتالي لا ترى الحركة أي ضرورة لتغيير مقترحها"".
ووجه المقترح الإسرائيلي إلى ""حماس"" في وقت سابق من هذا الأسبوع. وقال الدبلوماسي إن المقترح لم يتضمن الموافقة على اثنين من مطالب ""حماس"" الرئيسية، هما عودة النازحين الغزيين إلى شمال القطاع دون أي قيود وانسحاب القوات الإسرائيلية.
وقال القيادي في حركة ""حماس"" أسامة حمدان، يوم الخميس، إن موقف الحركة لم يتغير منذ نقل المطالب الرئيسية إلى الوسطاء في 14 مارس.
وأضاف حمدان أن الجولة الأخيرة من المفاوضات في القاهرة هذا الأسبوع لم تحقق أي تقدم.
ويأتي ذلك في الوقت الذي يتوقع فيه أن يلتقي مدير وكالة الاستخبارات المركزية الأمريكية ويليام بيرنز بمدير ""الموساد"" دافيد برنياع ومدير ""الشاباك"" رونين بار نهاية الأسبوع في مصر لمواصلة المفاوضات حول الصفقة المحتملة.
ويشار إلى أن لقاءهم السابق بالوسطاء في الدوحة الشهر الماضي لم يسفر عن أي تقدم ملموس.

المصدر: ""سي إن إن"""
9,بايدن يحث السيسي والشيخ تميم على الضغط على حماس لإبرام اتفاق بشأن الرهائن الإسرائيليين في غزة,22:17 GMT,/web/20240405235307/https://arabic.rt.com/world/1553809-%D8%A8%D8%A7%D9%8A%D8%AF%D9%86-%D8%A7%D9%84%D8%B3%D9%8A%D8%B3%D9%8A-%D8%A7%D9%84%D8%B4%D9%8A%D8%AE-%D8%AA%D9%85%D9%8A%D9%85-%D8%AD%D9%85%D8%A7%D8%B3-%D8%A7%D8%AA%D9%81%D8%A7%D9%82-%D8%A7%D9%84%D8%B1%D9%87%D8%A7%D8%A6%D9%86-%D8%A7%D9%84%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A%D9%8A%D9%86-%D8%BA%D8%B2%D8%A9/,"قال مسؤول بارز في الإدارة الأمريكية إن الرئيس جو بايدن بعث يوم الجمعة برسالتين إلى الرئيس المصري وأمير قطر يدعوهما فيهما إلى الضغط على حماس لإبرام اتفاق بشأن الرهائن الإسرائيليين.
وأضاف المسؤول الذي اشترط التكتم عن هويته لمناقشته رسائل خاصة، إن مستشار الأمن القومي لبايدن سيجتمع يوم الاثنين مع أفراد عائلات بعض الرهائن الذين يقدر عددهم بنحو 100 رهينة ويعتقد أنهم ما زالوا في غزة.
وجاءت الرسالة بعد يوم واحد من دعوة بايدن رئيس الوزراء الإسرائيلي بنيامين نتنياهو إلى مضاعفة الجهود للتوصل إلى اتفاق لوقف إطلاق النار في الحرب المستمرة منذ ستة أشهر في غزة.
كما تأتي الرسالتان الموجهتان إلى الرئيس المصري عبد الفتاح السيسي وأمير قطر الشيخ تميم بن حمد آل ثاني، في الوقت الذي أوفد فيه بايدن مدير وكالة الاستخبارات المركزية ويليام بيرنز إلى القاهرة لإجراء محادثات نهاية الأسبوع الجاري حول أزمة الرهائن.
ويشير مسؤولون في البيت الأبيض إلى أن التفاوض على وقف القتال بين إسرائيل وحماس لتسهيل تبادل الرهائن المحتجزين في غزة بالسجناء الفلسطينيين المحتجزين في إسرائيل هو السبيل الوحيد لتنفيذ وقف مؤقت لإطلاق النار، وتعزيز تدفق المساعدات الإنسانية التي تشتد الحاجة اليها في القطاع.
هذا، وقال المتحدث باسم الأمن القومي بالبيت الأبيض جون كيربي في وقت سابق يوم الجمعة، إن بايدن أكد على الحاجة إلى إتمام اتفاق الرهائن وذلك خلال اتصال هاتفي الخميس مع نتنياهو.
وتشهد المحادثات تعثرا منذ أسابيع وتتبادل حماس وإسرائيل الاتهامات بالمراوغة والتشدد.
هذا وأفاد مصدر دبلوماسي لقناة ""سي إن إن"" بأن حركة حماس رفضت الاقتراح الأخير الذي تقدمت به إسرائيل لوقف إطلاق النار في القطاع.
وأوضح المصدر: ""لقد رفضوا لأن الاقتراح لم يلب بعض مطالبهم""، مضيفا أن إسرائيل لا تريد السماح بعودة المدنيين الفلسطينيين إلى شمال غزة كما أنها لم توافق على سحب قواتها من غزة.
المصدر: أ ب + ""سي إن إن"""
